dataset,cores,sort_mb,runtime_seconds,avg_cpu,avg_mem
toy,1,100,2292.6247684955597,19.88380619816674,66.5914011348756
toy,2,100,1880.9935314655304,30.320489622139434,67.31889302820649
toy,4,100,1236.7714629173279,43.8911003236246,68.92435275080906
toy,8,100,952.7410862445831,70.01113445378152,67.70756302521008
small,1,100,22212.38350224495,20.43683475282772,66.4372763733045
small,2,100,17519.748833179474,29.951502685407384,70.44930293680721
small,4,100,12051.694246530533,45.61748629340423,72.52261172952318
small,8,100,9047.342267036438,71.24826212087669,65.9498450298871
