timestamp,cpu,memory,disk_read,disk_write,event
1764966556.3753533,15.4,58.7,1410807459840,719356985344,
1764966557.3763804,52.4,61.5,1410808008704,719356985344,
1764966558.3770394,30.5,61.5,1410808762368,719357009920,
1764966559.3797781,32.3,62.1,1410817331200,719357157376,
1764966560.3806434,33.0,64.3,1410819362816,719357157376,
1764966561.3815153,41.4,64.4,1410820452352,719364784128,
1764966562.3822541,26.9,65.5,1410820902912,719364784128,
1764966563.3830419,25.9,66.5,1410822672384,719364784128,
1764966564.3841364,59.5,67.8,1410822942720,719364784128,
1764966565.3853996,30.8,67.1,1410824712192,719364841472,
1764966566.3865712,3.9,67.2,1410825342976,719365496832,
1764966567.3879697,36.9,69.4,1410825490432,719365521408,
1764966568.3891883,88.6,73.4,1410825490432,719365521408,
1764966569.390192,75.7,73.8,1410825490432,719365521408,
1764966570.3912995,69.3,74.4,1410825490432,719365521408,
1764966571.394697,77.7,76.7,1410825490432,719366176768,
1764966572.3963132,96.2,77.8,1410825490432,719366184960,
1764966573.3985128,86.6,77.8,1410825490432,719366184960,
1764966574.3999984,68.8,80.1,1410825490432,719366184960,
1764966575.4008477,67.4,83.4,1410825490432,719366184960,
1764966576.4020057,91.8,87.7,1410839752704,719484510208,
1764966577.4032338,90.9,86.7,1410861993984,719533522944,
1764966578.4042814,82.6,87.0,1410875469824,719533522944,
1764966579.4056716,73.2,81.8,1410877968384,719533662208,
1764966580.4062164,64.5,70.6,1410894024704,719533662208,
1764966581.4076426,63.4,64.4,1410924457984,719534284800,
1764966582.4087055,87.3,66.6,1410928889856,719534284800,
1764966583.410267,69.1,68.9,1410929676288,719534284800,
1764966584.4113302,70.2,69.7,1410931281920,719534284800,
1764966585.412818,88.4,71.9,1410932273152,719534284800,
1764966586.4141946,91.6,73.3,1410938056704,719534776320,
1764966587.4153287,75.5,73.1,1410942267392,719534776320,
1764966588.4165504,68.7,74.9,1410943447040,719534776320,
1764966589.417819,79.7,79.5,1410946969600,719534776320,
1764966590.4210675,95.4,82.9,1410972430336,719535742976,
1764966591.42465,93.4,88.3,1410984087552,719547441152,
1764966592.4260175,77.1,82.8,1410984529920,719589744640,
1764966593.427597,72.2,74.8,1410984882176,719589744640,
1764966594.4288678,72.3,66.1,1410984898560,719590318080,
1764966595.4312942,94.4,68.5,1410985168896,719590318080,
1764966596.432412,84.8,69.6,1410985758720,719590326272,
1764966597.433377,69.4,70.8,1410987036672,719669813248,
1764966598.434664,72.1,72.4,1410987167744,719669813248,
1764966599.4381707,97.4,76.8,1410989658112,719670640640,
1764966600.4402256,95.8,77.4,1410991198208,719670640640,
1764966601.4414709,80.3,78.4,1410991730688,719670640640,
1764966602.4426577,69.1,82.2,1410994524160,719674384384,
1764966603.444202,73.2,86.1,1411003043840,719674384384,
1764966604.4454122,96.0,87.5,1411009654784,719675908096,
1764966605.4462972,89.7,86.4,1411010834432,719680249856,
1764966606.4477103,70.1,77.8,1411011022848,719681093632,
1764966607.449483,54.8,63.9,1411011284992,719681093632,
1764966608.4547513,85.9,67.6,1411011637248,719681093632,
1764966609.4558709,95.3,70.1,1411011842048,719681945600,
1764966610.4569354,86.3,69.7,1411011842048,719681945600,
1764966611.4581919,68.3,71.0,1411011842048,719681945600,
1764966612.4594345,70.0,72.5,1411011842048,719681945600,
1764966613.4609485,90.0,75.1,1411011842048,719681945600,
1764966614.4627712,92.3,77.4,1411014258688,719682240512,
1764966615.46386,72.9,78.3,1411016732672,719682240512,
