timestamp,cpu,memory,disk_read,disk_write,event
1764963408.306226,15.2,63.6,1405260623872,713953304576,
1764963409.3072267,30.2,64.9,1405260951552,713953304576,
1764963410.308309,25.8,66.8,1405262049280,713953370112,
1764963411.309415,51.8,68.5,1405265833984,713953476608,
1764963412.310375,12.3,66.9,1405267603456,713953705984,
1764963413.3112633,13.4,67.8,1405268619264,713953705984,
1764963414.3121912,41.0,70.1,1405268692992,713953705984,
1764963415.3130865,24.0,69.0,1405269905408,713953705984,
1764963416.3140144,15.1,70.2,1405270863872,713953705984,
1764963417.3149283,34.0,71.8,1405270888448,713958686720,
1764963418.3158069,30.0,70.9,1405272420352,713960054784,
1764963419.3170688,3.7,71.0,1405272715264,713960062976,
1764963420.3181214,22.0,72.2,1405272944640,713960071168,
1764963421.3189924,39.6,73.0,1405273460736,713960071168,
1764963422.320107,18.3,74.8,1405273460736,713961586688,
1764963423.321179,19.3,75.7,1405273460736,713961586688,
1764963424.3223739,44.5,77.6,1405273460736,713962364928,
1764963425.3232412,20.6,77.0,1405273460736,713962364928,
1764963426.3243046,18.2,77.5,1405273477120,713962364928,
1764963427.325423,39.2,79.4,1405273477120,713962373120,
1764963428.3263347,27.5,79.2,1405273477120,713962373120,
1764963429.327303,18.4,80.6,1405273485312,713962553344,
1764963430.328213,28.7,81.8,1405273485312,713962553344,
1764963431.3291087,35.4,81.6,1405273485312,713962553344,
1764963432.3300514,18.8,82.5,1405273485312,713967747072,
1764963433.3310723,20.6,84.6,1405273485312,713967747072,
1764963434.3317823,38.3,85.1,1405273550848,713968205824,
1764963435.332875,19.0,85.7,1405273550848,713968205824,
1764963436.333869,18.0,86.1,1405273550848,713968205824,
1764963437.3348331,41.3,89.4,1405273600000,713980715008,
1764963438.3358107,34.5,89.5,1405297258496,714036985856,
1764963439.3367133,25.2,87.4,1405298774016,714050682880,
1764963440.3378928,25.8,88.9,1405300756480,714050682880,
1764963441.3389323,32.1,88.4,1405300895744,714050682880,
1764963442.3397906,18.0,88.9,1405301067776,714055868416,
1764963443.340768,20.7,89.3,1405301166080,714055868416,
1764963444.341728,41.1,88.0,1405301207040,714056130560,
1764963445.3426793,18.5,88.0,1405301297152,714056130560,
1764963446.343621,19.1,73.3,1405302788096,714056155136,
1764963447.3446565,43.6,74.6,1405302820864,714056155136,
1764963448.3455665,22.3,70.9,1405302870016,714056155136,
1764963449.3464227,18.7,68.5,1405302878208,714056876032,
1764963450.3475215,38.1,70.7,1405303443456,714056876032,
1764963451.348413,33.6,70.2,1405303451648,714056900608,
1764963452.3493116,17.7,70.9,1405303459840,714056900608,
1764963453.3504376,23.4,72.3,1405303459840,714101833728,
1764963454.351383,44.5,72.2,1405303459840,714102276096,
1764963455.3522964,17.6,73.2,1405303574528,714102276096,
1764963456.3533013,17.8,74.1,1405303574528,714102284288,
1764963457.3543735,42.6,76.3,1405303582720,714102284288,
1764963458.3552828,24.1,76.0,1405303582720,714106028032,
1764963459.356176,18.7,76.8,1405303582720,714106265600,
1764963460.357285,35.6,79.0,1405303590912,714106265600,
1764963461.3581889,32.0,78.5,1405303590912,714106265600,
1764963462.359119,17.6,79.2,1405303590912,714106265600,
1764963463.360237,27.6,83.0,1405306392576,714106281984,
1764963464.3614101,42.0,83.9,1405312585728,714106290176,
1764963465.3622887,18.0,84.9,1405315371008,714106437632,
1764963466.363217,18.5,86.5,1405318164480,714106454016,
1764963467.3644183,37.0,90.5,1405320908800,714109140992,
1764963468.3653364,21.0,89.0,1405320908800,714134675456,
1764963469.3662436,18.8,89.3,1405320908800,714134675456,
1764963470.3672433,34.9,86.2,1405320908800,714134839296,
1764963471.3680787,22.9,77.5,1405320908800,714134839296,
1764963472.3689518,21.6,70.7,1405320908800,714134839296,
1764963473.3699,33.9,69.0,1405320908800,714134839296,
1764963474.3708816,33.0,69.4,1405320925184,714134839296,
1764963475.372119,19.4,70.6,1405322080256,714136469504,
1764963476.3733478,24.2,71.7,1405322080256,714136469504,
1764963477.374277,42.0,71.4,1405322080256,714136477696,
1764963478.375161,17.8,72.1,1405322080256,714136477696,
1764963479.3761377,19.5,73.5,1405322080256,714136477696,
1764963480.3771887,45.2,75.7,1405322080256,714136805376,
1764963481.378071,21.7,75.3,1405322080256,714136805376,
1764963482.378933,17.7,76.2,1405322080256,714136805376,
1764963483.3801107,38.6,78.1,1405322080256,714165551104,
1764963484.3810802,39.0,77.8,1405322080256,714173112320,
1764963485.3820057,17.7,78.6,1405322080256,714173579264,
1764963486.3830316,22.0,80.9,1405322080256,714173579264,
1764963487.3839695,46.7,82.8,1405324898304,714173587456,
1764963488.384889,19.6,83.1,1405324898304,714173587456,
1764963489.3857772,18.8,83.6,1405330018304,714173603840,
1764963490.3868256,34.2,88.7,1405337464832,714173751296,
1764963491.3878062,22.3,87.8,1405338103808,714173751296,
1764963492.3886776,17.4,88.0,1405338103808,714173751296,
1764963493.3896737,31.8,85.5,1405338537984,714181402624,
1764963494.39059,30.2,85.2,1405338710016,714181402624,
1764963495.391458,18.0,77.7,1405338710016,714181779456,
1764963496.3925376,28.9,72.1,1405338832896,714181779456,
1764963497.39349,41.7,68.2,1405338832896,714181779456,
1764963498.3945272,17.7,69.1,1405338832896,714181779456,
1764963499.3954208,19.8,70.3,1405338832896,714181779456,
1764963500.3963158,44.2,72.2,1405338832896,714182418432,
