dataset,cores,sort_mb,runtime_seconds,avg_cpu,avg_mem,total_words,throughput_words_per_sec,baseline_time,speedup_vs_1_core,parallel_efficiency
small,1,100,22212.38350224495,20.43683475282772,66.4372763733045,327856192,14760.063545943389,22212.38350224495,1.0,1.0
small,2,100,17519.748833179474,29.951502685407384,70.44930293680721,327856192,18713.521245184475,22212.38350224495,1.2678482844559056,0.6339241422279528
small,4,100,12051.694246530533,45.61748629340423,72.52261172952318,327856192,27204.15779668356,22212.38350224495,1.8430921866972767,0.4607730466743192
small,8,100,9047.342267036438,71.24826212087669,65.9498450298871,327856192,36237.8455819593,22212.38350224495,2.455128019548317,0.3068910024435396
toy,1,100,2292.62476849556,19.88380619816674,66.5914011348756,32938985,14367.36855181707,2292.62476849556,1.0,1.0
toy,2,100,1880.9935314655304,30.320489622139437,67.31889302820649,32938985,17511.48233579325,2292.62476849556,1.2188371358775048,0.6094185679387524
toy,4,100,1236.771462917328,43.8911003236246,68.92435275080906,32938985,26633.04093571393,2292.62476849556,1.853717390185943,0.46342934754648574
toy,8,100,952.7410862445832,70.01113445378152,67.70756302521008,32938985,34572.8608491479,2292.62476849556,2.4063460698775914,0.3007932587346989
