timestamp,cpu,memory,disk_read,disk_write,event
1764961080.8355548,25.0,70.0,1403265830912,711658848256,
1764961081.8363824,26.5,72.0,1403266691072,711658848256,
1764961082.8373055,44.3,74.4,1403267551232,711659397120,
1764961083.8382838,23.0,73.6,1403271639040,711659544576,
1764961084.8393502,6.3,73.8,1403273605120,711660224512,
1764961085.840145,30.1,75.2,1403274219520,711661182976,
1764961086.841179,13.5,75.0,1403274760192,711661182976,
1764961087.8422089,10.0,75.3,1403274842112,711661502464,
1764961088.8430316,27.8,76.8,1403275259904,711661502464,
1764961089.8441138,17.8,76.3,1403276693504,711661993984,
1764961090.8451223,9.1,76.6,1403276996608,711661993984,
1764961091.8460104,20.5,77.5,1403277004800,711661993984,
1764961092.8471541,19.3,77.2,1403278249984,711662034944,
1764961093.8484912,7.4,77.3,1403278585856,711662059520,
1764961094.8492908,15.6,78.4,1403302096896,711680876544,
1764961095.8503168,20.0,77.9,1403302260736,711681859584,
1764961096.8513975,10.4,79.1,1403302260736,711681859584,
1764961097.852109,17.3,80.4,1403302260736,711681859584,
1764961098.8532038,23.6,80.6,1403302555648,711681859584,
1764961099.8542552,10.6,81.1,1403302555648,711681859584,
1764961100.85502,13.2,83.1,1403302580224,711682465792,
1764961101.8560627,26.2,83.1,1403302580224,711682465792,
1764961102.8570821,10.7,83.6,1403305775104,711683006464,
1764961103.8577766,11.3,84.0,1403305791488,711683006464,
1764961104.8585155,34.5,85.4,1403308675072,711692468224,
1764961105.8595448,14.2,84.5,1403311845376,711692656640,
1764961106.8606083,13.8,85.4,1403313475584,711692984320,
1764961107.8613534,24.7,86.2,1403317579776,711692984320,
1764961108.8623774,15.4,85.2,1403318915072,711692984320,
1764961109.8634179,10.6,85.5,1403320348672,711692984320,
1764961110.864172,23.4,87.1,1403323502592,711693377536,
1764961111.8653805,17.4,86.3,1403325247488,711693901824,
1764961112.866423,10.5,86.3,1403326689280,711694131200,
1764961113.8671913,20.0,87.6,1403338829824,711694131200,
1764961114.8682745,25.0,88.8,1403343097856,711697137664,
1764961115.8692791,10.4,89.2,1403345416192,711697137664,
1764961116.869923,12.8,89.6,1403366166528,711701397504,
1764961117.8710384,28.0,88.4,1403390300160,711701651456,
1764961118.8717008,20.5,90.6,1403398295552,711702241280,
1764961119.8727274,23.0,90.6,1403399278592,711704797184,
1764961120.8735669,33.6,92.2,1403433684992,711705075712,
1764961121.8747814,23.8,88.7,1403482861568,711705616384,
1764961122.875821,9.8,88.9,1403483574272,711705616384,
1764961123.8767,14.3,89.6,1403514425344,711705616384,
1764961124.877636,30.2,91.0,1403531374592,711705616384,
1764961125.8786733,10.4,89.0,1403533348864,711706132480,
1764961126.8796988,10.0,88.9,1403533561856,711711997952,
1764961127.880433,26.8,90.3,1403533668352,711711997952,
1764961128.8815398,14.2,88.9,1403537805312,711712342016,
1764961129.8826196,10.0,88.9,1403539771392,711712366592,
1764961130.8839834,30.8,80.5,1403541540864,711712366592,
1764961131.885032,18.4,76.7,1403543334912,711712366592,
1764961132.88632,10.5,74.0,1403550380032,711712366592,
1764961133.8874154,22.0,72.8,1403554942976,711713382400,
1764961134.8884342,28.6,72.5,1403555729408,711713382400,
1764961135.8895483,11.4,73.5,1403556909056,711713382400,
1764961136.8903918,14.0,75.0,1403557408768,711713783808,
1764961137.8912919,37.0,76.5,1403558072320,711713783808,
1764961138.892237,13.8,75.4,1403559268352,711714365440,
1764961139.8928063,11.5,75.6,1403562045440,711714365440,
1764961140.8935685,36.3,77.1,1403565961216,711714365440,
1764961141.894881,17.3,76.4,1403567665152,711761854464,
1764961142.8959184,9.4,76.8,1403569016832,711761854464,
1764961143.8970938,25.0,78.3,1403570491392,711762280448,
1764961144.8981686,26.6,77.4,1403572539392,711762280448,
1764961145.8992376,9.0,77.8,1403577733120,711762288640,
1764961146.9001422,13.6,78.5,1403579215872,711762288640,
1764961147.9008026,36.0,79.8,1403579543552,711766024192,
1764961148.901836,10.7,78.3,1403582484480,711766245376,
1764961149.9029067,10.9,78.9,1403589283840,711766245376,
1764961150.903977,35.0,80.8,1403590340608,711766245376,
1764961151.9050047,16.2,79.7,1403591102464,711766245376,
1764961152.9060864,9.6,79.9,1403597066240,711766245376,
1764961153.9071221,26.8,81.6,1403597148160,711766376448,
1764961154.908182,23.1,85.7,1403606159360,711766376448,
1764961155.909215,10.2,86.5,1403609214976,711766376448,
1764961156.9101508,17.1,89.3,1403611983872,711766376448,
1764961157.9110196,32.1,88.7,1403614728192,711767080960,
1764961158.912047,12.2,88.5,1403614728192,711767343104,
1764961159.9126353,11.4,88.9,1403614785536,711767343104,
1764961160.913586,27.6,88.7,1403618103296,711767343104,
1764961161.9146504,9.8,88.9,1403619618816,711767343104,
1764961162.915549,10.1,89.0,1403619856384,711795965952,
1764961163.9166322,30.1,79.5,1403619962880,711796498432,
1764961164.9176965,11.0,69.7,1403619962880,711796498432,
1764961165.918605,13.2,70.7,1403620225024,711796498432,
1764961166.9194052,36.3,73.3,1403620470784,711796498432,
1764961167.9204476,16.5,73.2,1403622838272,711796498432,
1764961168.921508,11.3,73.8,1403640762368,711797399552,
1764961169.9224498,23.4,75.6,1403641024512,711797407744,
1764961170.9235528,25.9,75.8,1403642294272,711797407744,
1764961171.9246771,9.8,76.0,1403642294272,711797407744,
1764961172.9254117,14.3,76.6,1403642335232,711797407744,
1764961173.926096,37.0,76.3,1403642335232,711797661696,
1764961174.9271247,9.5,76.5,1403642515456,711797661696,
1764961175.9282181,9.4,77.2,1403642785792,711797661696,
1764961176.9290955,35.3,79.2,1403642793984,711797661696,
1764961177.9300928,14.3,77.9,1403642793984,711797661696,
1764961178.9311817,10.0,78.2,1403642793984,711797874688,
1764961179.932425,27.8,79.6,1403642908672,711797874688,
1764961180.9334426,20.5,78.5,1403642925056,711797874688,
1764961181.9345233,10.1,78.9,1403642925056,711797874688,
1764961182.9351532,18.9,80.4,1403643056128,711812284416,
1764961183.936162,31.8,80.0,1403643547648,711812284416,
1764961184.9372368,9.4,81.3,1403646570496,711812734976,
1764961185.9379792,11.5,81.6,1403646570496,711812734976,
1764961186.938597,35.5,83.8,1403646570496,711812734976,
1764961187.9399095,11.5,88.3,1403656163328,711812734976,
1764961188.9410832,9.9,88.4,1403661979648,711812734976,
1764961189.9421651,25.2,88.1,1403662004224,711812816896,
1764961190.9433553,14.4,87.3,1403663478784,711812816896,
1764961191.9444351,9.8,87.5,1403664306176,711812816896,
1764961192.9453983,23.5,85.7,1403664478208,711812816896,
1764961193.9464238,15.8,84.9,1403664478208,711812816896,
1764961194.947554,9.3,84.3,1403664478208,711813201920,
1764961195.9481668,24.2,72.6,1403664478208,711813201920,
1764961196.9491923,21.7,69.5,1403664478208,711813201920,
1764961197.9502697,10.0,70.3,1403664707584,711813201920,
1764961198.9510257,20.2,72.6,1403664715776,711843831808,
1764961199.9520435,29.8,72.3,1403664756736,711844659200,
1764961200.9532447,9.3,72.9,1403664756736,711844659200,
1764961201.954285,12.7,74.9,1403665469440,711844659200,
1764961202.9550257,35.9,76.3,1403665469440,711844659200,
1764961203.956054,10.8,74.9,1403665469440,711844659200,
1764961204.9571264,9.5,75.1,1403665469440,711844855808,
1764961205.958118,34.4,76.5,1403665469440,711844855808,
1764961206.9591799,18.4,75.9,1403665567744,711844855808,
1764961207.960235,9.3,76.1,1403665575936,711844855808,
1764961208.9612126,22.8,77.6,1403665723392,711844855808,
1764961209.9622874,25.9,76.8,1403665731584,711845019648,
1764961210.9633167,9.1,77.0,1403665731584,711845044224,
1764961211.9641883,15.3,78.0,1403665862656,711845044224,
1764961212.9653146,33.4,77.5,1403665862656,711845044224,
1764961213.9663575,9.8,78.0,1403665928192,711845044224,
1764961214.967286,11.0,79.9,1403666059264,711845265408,
1764961215.967916,36.3,81.5,1403668590592,711845273600,
1764961216.968988,12.6,80.1,1403668672512,711845552128,
1764961217.9700162,9.7,80.3,1403668672512,711845552128,
1764961218.9711528,30.3,86.9,1403668885504,711851859968,
1764961219.97218,23.1,85.6,1403699212288,711853056000,
1764961220.9732265,9.1,85.8,1403699212288,711853056000,
1764961221.9738715,18.4,86.9,1403699220480,711853727744,
1764961222.9749305,19.4,86.6,1403699548160,711853727744,
1764961223.9759622,10.1,86.8,1403699843072,711853727744,
1764961224.9769166,15.8,87.5,1403699843072,711853727744,
1764961225.977983,23.2,87.2,1403699843072,711853727744,
1764961226.9789937,12.7,80.5,1403699843072,711853998080,
1764961227.9799209,17.1,71.2,1403699851264,711853998080,
1764961228.98109,38.1,73.3,1403700441088,711853998080,
1764961229.9823203,10.9,72.5,1403700465664,711853998080,
1764961230.9835272,16.5,74.4,1403702546432,711853998080,
1764961231.9844222,34.6,76.4,1403702546432,711854702592,
1764961232.9854467,17.5,75.7,1403702874112,711854702592,
1764961233.9864407,9.9,76.9,1403702874112,711854702592,
1764961234.9875624,22.3,78.4,1403702915072,711881482240,
1764961235.988694,25.2,77.7,1403702923264,711881482240,
1764961236.9897196,9.8,78.0,1403702923264,711881990144,
1764961237.990859,14.1,78.9,1403703554048,711881990144,
1764961238.991923,36.3,78.5,1403703554048,711881990144,
1764961239.9929812,9.5,79.1,1403703554048,711881990144,
1764961240.994421,9.4,80.0,1403703554048,711881990144,
1764961241.9951875,37.2,82.5,1403705782272,711881990144,
1764961242.9963012,14.9,81.6,1403705782272,711882145792,
1764961243.9973223,9.5,81.8,1403705782272,711882145792,
1764961244.9981477,25.0,83.1,1403705782272,711882145792,
1764961245.9991739,21.2,82.2,1403705782272,711882145792,
1764961247.0002046,9.8,82.5,1403706077184,711882145792,
1764961248.001033,17.1,83.8,1403706077184,711882366976,
1764961249.0020626,30.0,80.9,1403706077184,711882366976,
1764961250.0031095,9.3,81.2,1403708264448,711882366976,
1764961251.0036974,10.8,82.0,1403708264448,711882366976,
1764961252.0044901,33.4,88.1,1403710304256,711882366976,
1764961253.0056226,11.8,86.9,1403716595712,711882702848,
1764961254.0068002,9.8,86.9,1403716595712,711882702848,
1764961255.0075963,28.8,87.5,1403716661248,711895539712,
1764961256.0087216,17.2,83.5,1403716661248,711895539712,
1764961257.0097096,11.5,82.9,1403716661248,711895539712,
1764961258.010625,24.0,84.3,1403716661248,711896072192,
1764961259.0116575,20.4,83.8,1403717070848,711896072192,
1764961260.0126925,9.7,71.1,1403717070848,711896072192,
1764961261.0135849,19.8,73.1,1403717070848,711896072192,
1764961262.014664,27.0,72.9,1403717070848,711896072192,
1764961263.015687,10.2,73.9,1403717767168,711896711168,
1764961264.0166614,13.5,74.8,1403717767168,711896711168,
1764961265.0178792,36.6,76.9,1403717775360,711896711168,
1764961266.0189457,9.6,75.8,1403717963776,711896711168,
1764961267.0199656,10.7,76.1,1403717963776,711896711168,
1764961268.0208092,32.9,77.8,1403717971968,711896883200,
1764961269.0218396,15.7,76.6,1403717988352,711896883200,
1764961270.0228677,10.0,77.1,1403717988352,711896883200,
1764961271.0235498,27.2,79.8,1403718004736,711915806720,
1764961272.0246913,22.1,79.8,1403720028160,711915806720,
1764961273.0257425,9.1,80.1,1403720028160,711916273664,
1764961274.0265262,19.8,81.1,1403720077312,711916273664,
1764961275.0275898,32.6,80.6,1403720077312,711916273664,
1764961276.0286424,9.4,80.4,1403720085504,711916273664,
1764961277.0293286,12.1,81.1,1403720085504,711916273664,
1764961278.0308256,35.9,81.0,1403720085504,711916273664,
1764961279.031828,11.9,79.9,1403722027008,711916552192,
